------------------------------
ID: 29646448_4858721
Report type: position_tracking_rankings
Period: 20260527 - 20260603
Keywords: In TOP 1-100
Metrics: declined
------------------------------

Keyword,Tags,Intents,*.purpleheartlimo.com/*_20260527,*.purpleheartlimo.com/*_20260527_type,*.purpleheartlimo.com/*_20260527_landing,*.purpleheartlimo.com/*_20260528,*.purpleheartlimo.com/*_20260528_type,*.purpleheartlimo.com/*_20260528_landing,*.purpleheartlimo.com/*_20260529,*.purpleheartlimo.com/*_20260529_type,*.purpleheartlimo.com/*_20260529_landing,*.purpleheartlimo.com/*_20260530,*.purpleheartlimo.com/*_20260530_type,*.purpleheartlimo.com/*_20260530_landing,*.purpleheartlimo.com/*_20260531,*.purpleheartlimo.com/*_20260531_type,*.purpleheartlimo.com/*_20260531_landing,*.purpleheartlimo.com/*_20260601,*.purpleheartlimo.com/*_20260601_type,*.purpleheartlimo.com/*_20260601_landing,*.purpleheartlimo.com/*_20260602,*.purpleheartlimo.com/*_20260602_type,*.purpleheartlimo.com/*_20260602_landing,*.purpleheartlimo.com/*_20260603,*.purpleheartlimo.com/*_20260603_type,*.purpleheartlimo.com/*_20260603_landing,*.purpleheartlimo.com/*_difference,Search Volume,CPC,Keyword Difficulty
near south side fort worth,,i,26,organic,https://purpleheartlimo.com/blog/near-southside-fort-worth.html,30,organic,https://purpleheartlimo.com/blog/near-southside-fort-worth.html,30,organic,https://purpleheartlimo.com/blog/near-southside-fort-worth.html,28,organic,https://purpleheartlimo.com/blog/near-southside-fort-worth.html,26,organic,https://purpleheartlimo.com/blog/near-southside-fort-worth.html,27,organic,https://purpleheartlimo.com/blog/near-southside-fort-worth.html,27,organic,https://purpleheartlimo.com/blog/near-southside-fort-worth.html,30,organic,https://purpleheartlimo.com/blog/near-southside-fort-worth.html,-4,70,n/a,35
nice hotels in dallas,,i|t,42,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,38,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,44,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,48,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,45,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,45,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,46,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,46,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,-4,880,1.19,53
uptown dallas,,i,54,organic,https://purpleheartlimo.com/blog/uptown-dallas-guide.html,53,organic,https://purpleheartlimo.com/blog/uptown-dallas-guide.html,53,organic,https://purpleheartlimo.com/blog/uptown-dallas-guide.html,59,organic,https://purpleheartlimo.com/blog/uptown-dallas-guide.html,57,organic,https://purpleheartlimo.com/blog/uptown-dallas-guide.html,57,organic,https://purpleheartlimo.com/blog/uptown-dallas-guide.html,58,organic,https://purpleheartlimo.com/blog/uptown-dallas-guide.html,58,organic,https://purpleheartlimo.com/blog/uptown-dallas-guide.html,-4,6600,0.98,43
best luxury hotels uptown dallas,,c,57,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,52,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,55,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,64,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,60,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,60,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,60,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,60,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,-3,30,n/a,61
dallas best hotels,,c,40,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,41,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,41,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,39,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,38,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,41,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,41,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,43,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,-3,260,1.51,50
thanksgiving activities in dallas tx,,i,44,organic,https://purpleheartlimo.com/blog/dfw-thanksgiving.html,39,organic,https://purpleheartlimo.com/blog/dfw-thanksgiving.html,45,organic,https://purpleheartlimo.com/blog/dfw-thanksgiving.html,44,organic,https://purpleheartlimo.com/blog/dfw-thanksgiving.html,46,organic,https://purpleheartlimo.com/blog/dfw-thanksgiving.html,46,organic,https://purpleheartlimo.com/blog/dfw-thanksgiving.html,47,organic,https://purpleheartlimo.com/blog/dfw-thanksgiving.html,47,organic,https://purpleheartlimo.com/blog/dfw-thanksgiving.html,-3,90,n/a,5
thanksgiving parade in dallas,,i,34,organic,https://purpleheartlimo.com/blog/dfw-thanksgiving.html,33,organic,https://purpleheartlimo.com/blog/dfw-thanksgiving.html,38,organic,https://purpleheartlimo.com/blog/dfw-thanksgiving.html,35,organic,https://purpleheartlimo.com/blog/dfw-thanksgiving.html,35,organic,https://purpleheartlimo.com/blog/dfw-thanksgiving.html,35,organic,https://purpleheartlimo.com/blog/dfw-thanksgiving.html,37,organic,https://purpleheartlimo.com/blog/dfw-thanksgiving.html,37,organic,https://purpleheartlimo.com/blog/dfw-thanksgiving.html,-3,210,n/a,25
things to do for thanksgiving in dallas,,i,46,organic,https://purpleheartlimo.com/blog/dfw-thanksgiving.html,48,organic,https://purpleheartlimo.com/blog/dfw-thanksgiving.html,48,organic,https://purpleheartlimo.com/blog/dfw-thanksgiving.html,49,organic,https://purpleheartlimo.com/blog/dfw-thanksgiving.html,47,organic,https://purpleheartlimo.com/blog/dfw-thanksgiving.html,50,organic,https://purpleheartlimo.com/blog/dfw-thanksgiving.html,50,organic,https://purpleheartlimo.com/blog/dfw-thanksgiving.html,49,organic,https://purpleheartlimo.com/blog/dfw-thanksgiving.html,-3,90,n/a,9
top hotels in dallas,,t,36,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,33,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,36,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,37,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,39,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,39,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,39,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,39,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,-3,2400,1.51,45
bachelorette dallas tx,,i,59,organic,https://purpleheartlimo.com/blog/dfw-bachelorette-party.html,61,organic,https://purpleheartlimo.com/blog/dfw-bachelorette-party.html,61,organic,https://purpleheartlimo.com/blog/dfw-bachelorette-party.html,60,organic,https://purpleheartlimo.com/blog/dfw-bachelorette-party.html,58,organic,https://purpleheartlimo.com/blog/dfw-bachelorette-party.html,62,organic,https://purpleheartlimo.com/blog/dfw-bachelorette-party.html,62,organic,https://purpleheartlimo.com/blog/dfw-bachelorette-party.html,61,organic,https://purpleheartlimo.com/blog/dfw-bachelorette-party.html,-2,110,1.59,13
famous hotels in dallas texas,,i|t,45,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,49,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,49,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,52,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,46,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,45,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,45,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,47,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,-2,50,1.08,50
luxury dallas hotels,,t,57,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,53,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,53,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,62,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,56,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,59,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,59,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,59,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,-2,70,1.45,67
nicest hotels in dallas,,c,45,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,41,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,44,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,47,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,46,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,46,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,47,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,47,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,-2,140,1.19,51
wedding venues in the dfw area,,c,61,organic,https://purpleheartlimo.com/blog/dfw-wedding-venues.html,64,organic,https://purpleheartlimo.com/blog/dfw-wedding-venues.html,64,organic,https://purpleheartlimo.com/blog/dfw-wedding-venues.html,62,organic,https://purpleheartlimo.com/blog/dfw-wedding-venues.html,60,organic,https://purpleheartlimo.com/blog/dfw-wedding-venues.html,61,organic,https://purpleheartlimo.com/blog/dfw-wedding-venues.html,61,organic,https://purpleheartlimo.com/blog/dfw-wedding-venues.html,63,organic,https://purpleheartlimo.com/blog/dfw-wedding-venues.html,-2,70,1.95,32
5 star hotels dallas,,t,59,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,56,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,56,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,62,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,56,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,58,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,58,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,60,organic,https://purpleheartlimo.com/blog/dallas-hotels-guide.html,-1,390,1.40,34
arlington entertainment district map,,i,44,organic,https://purpleheartlimo.com/blog/arlington-entertainment.html,42,organic,https://purpleheartlimo.com/blog/arlington-entertainment.html,42,organic,https://purpleheartlimo.com/blog/arlington-entertainment.html,42,organic,https://purpleheartlimo.com/blog/arlington-entertainment.html,42,organic,https://purpleheartlimo.com/blog/arlington-entertainment.html,42,organic,https://purpleheartlimo.com/blog/arlington-entertainment.html,45,organic,https://purpleheartlimo.com/blog/arlington-entertainment.html,45,organic,https://purpleheartlimo.com/blog/arlington-entertainment.html,-1,70,n/a,9
