Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
stretch limo rental dallas,1,1,320,35,2.25,https://www.primelimo.com/,79,0.93,177.00,0.84,322000,"19, 100, 67, 15, 36, 36, 15, 12, 36, 23, 29, 29",2026-04-15,"Local pack, Video, Image, Related searches",commercial,Local pack
town car service dallas,1,1,590,36,4.16,https://www.primelimo.com/,77,0.9,320.00,0.9,137000000,"13, 55, 100, 100, 45, 36, 10, 10, 30, 36, 36, 36",2026-04-13,"Local pack, Sitelinks, Image, Related searches, AI overview",informational,Local pack
prime limousine dallas,1,1,90,40,2.75,https://www.primelimo.com/,72,0.84,198.00,0.38,115,"26, 26, 42, 34, 34, 42, 42, 34, 34, 53, 19, 19",2026-05-26,"Knowledge panel, Sitelinks, Related searches",navigational,Organic
prime limo car service dallas,1,1,90,34,2.75,https://www.primelimo.com/,72,0.84,198.00,0.38,473000,"50, 50, 78, 78, 100, 100, 50, 64, 64, 100, 35, 35",2026-04-10,"Knowledge panel, Sitelinks, Image, Related searches",navigational,Organic
prime limo dallas tx,1,1,90,39,2.75,https://www.primelimo.com/,72,0.84,198.00,0.38,120,"50, 50, 78, 64, 50, 78, 64, 64, 64, 100, 35, 50",2026-05-17,"Knowledge panel, Sitelinks, Related searches",navigational,Organic
prime limo car service,1,1,70,43,1.58,https://www.primelimo.com/,56,0.66,88.00,0.14,108,"0, 0, 19, 19, 23, 0, 66, 66, 80, 42, 52, 52",2026-04-26,"Knowledge panel, Sitelinks, People also ask, Related searches",navigational,Organic
limousine service dallas tx,1,1,70,58,3.05,https://www.primelimo.com/,56,0.66,170.00,0.8,105,"82, 12, 10, 17, 10, 10, 12, 12, 7, 23, 7, 5",2026-05-25,"Knowledge panel, Sitelinks, Video, Related searches",commercial,Organic
limousine dallas tx,1,1,210,55,2.73,https://www.primelimo.com/,52,0.61,141.00,0.66,114,"28, 43, 100, 66, 66, 53, 28, 35, 66, 28, 43, 43",2026-05-16,"Local pack, Sitelinks, Video, Related searches",commercial,Local pack
dallas limo tx,1,1,210,37,2.32,https://www.primelimo.com/,52,0.61,120.00,0.63,114,"44, 35, 23, 35, 28, 23, 11, 54, 28, 35, 44, 35",2026-05-28,"Local pack, Sitelinks, Related searches",commercial,Local pack
limousine limousine limousine,17,19,33100,63,1.80,https://www.primelimo.com/,49,0.57,88.00,0.24,149,"66, 66, 24, 0, 1, 16, 13, 24, 44, 81, 54, 54",2026-05-30,"Knowledge panel, Local pack, Video, Video Carousel, People also ask, Related searches, Things to know, AI overview",informational,Organic
limousine service dallas,1,1,720,40,3.05,https://www.primelimo.com/,46,0.54,140.00,0.8,109,"100, 100, 76, 76, 45, 45, 36, 36, 55, 24, 20, 30",2026-05-23,"Local pack, Sitelinks, People also ask, Related searches",commercial,Organic
limo rental dallas tx,1,1,170,35,2.25,https://www.primelimo.com/,42,0.49,94.00,0.84,339000,"43, 43, 54, 54, 54, 54, 18, 22, 29, 14, 10, 18",2026-04-15,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Local pack
rent limo in dallas,1,1,320,55,2.25,https://www.primelimo.com/,42,0.49,94.00,0.84,114,"19, 100, 67, 15, 36, 36, 15, 12, 36, 23, 29, 29",2026-05-27,"Local pack, Sitelinks, Related searches",commercial,Local pack
limousine rental dallas tx,1,1,170,52,2.25,https://www.primelimo.com/,42,0.49,94.00,0.84,112,"29, 23, 100, 15, 19, 19, 23, 9, 19, 12, 5, 9",2026-05-19,"Local pack, Video, Related searches",commercial,Local pack
affordable limo service dallas,1,1,50,60,2.08,https://www.primelimo.com/,40,0.47,83.00,0.75,106,"45, 45, 36, 36, 63, 45, 45, 45, 100, 18, 18, 18",2026-05-26,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Local pack
limo rides dallas,1,1,590,41,3.05,https://www.primelimo.com/,38,0.44,115.00,0.8,1640000,"10, 10, 5, 36, 62, 55, 10, 45, 62, 45, 45, 36",2026-04-19,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Organic
dallas limo service,1,1,590,56,3.05,https://www.primelimo.com/,38,0.44,115.00,0.8,110,"100, 67, 55, 100, 36, 30, 24, 24, 13, 24, 16, 24",2026-04-11,"Local pack, Sitelinks, Video, Related searches",commercial,Organic
limousine s,5,5,1600,63,2.26,https://www.primelimo.com/,35,0.41,79.00,0.32,153,"100, 100, 82, 55, 34, 44, 82, 55, 24, 24, 24, 30",2026-05-28,"Local pack, Image pack, Video, Related searches",commercial,Organic
transportation dallas,1,1,260,42,2.21,https://www.primelimo.com/,34,0.4,75.00,0.4,233000000,"28, 35, 100, 35, 66, 44, 35, 35, 23, 23, 23, 23",2026-04-22,"Local pack, Video, Image, Related searches",commercial,Local pack
dallas limousine,1,1,140,45,2.73,https://www.primelimo.com/,34,0.4,92.00,0.66,7430000,"29, 12, 19, 23, 19, 12, 15, 15, 29, 15, 15, 36",2026-04-16,"Local pack, Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums",commercial,Local pack
limo service dallas ft worth,1,1,140,53,3.02,https://www.primelimo.com/,34,0.4,102.00,0.42,1760000,"28, 21, 28, 28, 53, 100, 53, 34, 81, 53, 15, 28",2026-04-10,"Local pack, Sitelinks, Image, Related searches",commercial,Local pack
limo truck,1,1,1000,59,1.55,https://www.primelimo.com/,30,0.35,46.00,0.05,212,"52, 52, 52, 68, 68, 52, 52, 52, 52, 52, 52, 68",2026-05-29,"Image pack, Video, Video Carousel, People also ask, Related searches",informational,Organic
limo service dallas,10,10,880,46,3.05,https://www.primelimo.com/,30,0.35,91.00,0.8,107,"46, 52, 68, 25, 37, 31, 46, 52, 52, 46, 37, 37",2026-05-21,"Knowledge panel, Sitelinks, Related searches",commercial,Knowledge panel
car service dallas fort worth,1,1,110,23,4.99,https://www.primelimo.com/,27,0.31,134.00,0.73,106000000,"28, 81, 6, 12, 100, 43, 6, 28, 21, 28, 12, 15",2026-04-17,"Local pack, Video, Image, Related searches",commercial,Local pack
suv limo rental,1,1,110,27,1.95,https://www.primelimo.com/,27,0.31,52.00,0.56,1280000,"18, 14, 35, 81, 29, 18, 18, 22, 22, 14, 14, 18",2026-04-26,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Local pack
limo service in dallas,1,1,110,16,3.05,https://www.primelimo.com/,27,0.31,82.00,0.8,2170000,"11, 15, 81, 15, 6, 8, 18, 18, 28, 11, 11, 8",2026-04-09,"Local pack, Sitelinks, Video, Related searches",commercial,Local pack
airport transportation dallas,1,1,110,44,2.86,https://www.primelimo.com/,27,0.31,77.00,0.49,69100000,"10, 10, 12, 15, 15, 15, 15, 10, 10, 10, 10, 12",2026-04-26,"Local pack, Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums",commercial,Local pack
car service arlington tx,1,1,210,8,4.04,https://www.primelimo.com/,27,0.31,109.00,0.87,38600000,"5, 4, 5, 5, 5, 4, 100, 8, 6, 10, 13, 8",2026-04-30,"Local pack, Video, People also ask, Related searches",commercial,Local pack
cars limo,1,1,110,67,2.07,https://www.primelimo.com/,27,0.31,55.00,0.32,15200000,"5, 18, 100, 6, 3, 3, 23, 23, 11, 8, 3, 6",2026-04-23,"Local pack, Image pack, Video, Image, People also ask, Related searches",commercial,Local pack
limo cars,1,1,320,73,2.07,https://www.primelimo.com/,26,0.3,53.00,0.32,15200000,"100, 5, 16, 11, 8, 46, 2, 2, 13, 8, 3, 4",2026-04-17,"Local pack, Image pack, Video, Image, People also ask, Related searches, AI overview",commercial,Local pack
limo rental dallas,1,1,390,51,2.25,https://www.primelimo.com/,25,0.29,56.00,0.84,1240000,"55, 30, 24, 36, 16, 24, 24, 13, 36, 24, 20, 20",2026-04-19,"Local pack, Video, Image, Related searches",commercial,Organic
prime limousine,1,1,30,47,2.03,https://www.primelimo.com/,24,0.28,48.00,0.19,17700000,"18, 18, 100, 18, 18, 18, 18, 18, 18, 18, 18, 18",2026-04-10,"Local pack, Sitelinks, Video, Image, Related searches",navigational,Organic
limo dallas,1,1,90,53,2.73,https://www.primelimo.com/,22,0.25,60.00,0.66,130,"35, 12, 53, 7, 10, 7, 23, 23, 43, 17, 12, 17",2026-04-07,"Local pack, Video, Image, Related searches",commercial,Local pack
dallas limo rental,1,1,90,39,2.25,https://www.primelimo.com/,22,0.25,49.00,0.84,1470000,"53, 34, 65, 34, 15, 19, 42, 42, 34, 34, 19, 42",2026-05-26,"Local pack, Sitelinks, Related searches",commercial,Local pack
limos in dallas,1,1,90,53,2.73,https://www.primelimo.com/,22,0.25,60.00,0.66,110,"19, 26, 100, 65, 19, 15, 19, 26, 42, 26, 26, 42",2026-05-17,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Local pack
limo ride dallas,1,1,90,39,3.05,https://www.primelimo.com/,22,0.25,67.00,0.8,1490000,"0, 0, 0, 88, 0, 1, 3, 3, 0, 2, 1, 1",2026-05-14,"Local pack, Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums",commercial,Local pack
dallas airport limo service,1,1,90,44,4.91,https://www.primelimo.com/,22,0.25,108.00,0.23,104,"64, 52, 52, 41, 41, 41, 82, 82, 64, 29, 29, 29",2026-05-15,"Local pack, Sitelinks, Related searches",commercial,Local pack
luxury car service dallas,1,1,90,20,3.18,https://www.primelimo.com/,22,0.25,69.00,0.68,130,"23, 14, 33, 19, 23, 23, 52, 80, 52, 80, 100, 66",2026-04-10,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Local pack
limo service plano,1,1,90,9,2.54,https://www.primelimo.com/,22,0.25,55.00,0.49,392000,"19, 23, 52, 52, 42, 42, 66, 66, 52, 33, 33, 42",2026-04-13,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Local pack
dallas airport limo,1,1,90,34,0.00,https://www.primelimo.com/,22,0.25,0.00,0.09,106,"35, 50, 35, 35, 35, 50, 78, 100, 100, 64, 78, 64",2026-05-15,"Local pack, Sitelinks, Related searches",commercial,Local pack
prom car service,1,1,90,32,0.00,https://www.primelimo.com/,22,0.25,0.00,0.29,87800000,"4, 4, 22, 22, 22, 4, 22, 22, 18, 18, 18, 18",2026-04-07,"Local pack, Video, Image, People also ask, Related searches",commercial,Local pack
wedding transportation dallas,1,1,90,6,4.58,https://www.primelimo.com/,22,0.25,100.00,0.37,120,"14, 14, 10, 8, 14, 14, 43, 43, 18, 22, 6, 4",2026-05-24,"Local pack, Video, Related searches",commercial,Local pack
car services dallas,1,1,90,25,4.16,https://www.primelimo.com/,22,0.25,91.00,0.9,343000000,"64, 29, 41, 100, 17, 17, 29, 41, 29, 41, 82, 82",2026-04-18,"Local pack, Video, Image, Related searches",commercial,Local pack
dallas limousine service,1,1,90,52,3.05,https://www.primelimo.com/,22,0.25,67.00,0.8,2210000,"6, 53, 81, 6, 9, 9, 43, 43, 21, 6, 3, 34",2026-04-06,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Local pack
car service dallas,2,2,480,24,4.29,https://www.primelimo.com/,21,0.24,90.00,0.79,118,"45, 13, 36, 45, 45, 45, 36, 36, 36, 30, 30, 30",2026-05-28,"Local pack, Video, People also ask, Related searches",commercial,Organic
limo car,4,4,2400,75,1.79,https://www.primelimo.com/,21,0.24,37.00,0.28,223,"44, 35, 23, 35, 16, 23, 23, 12, 44, 35, 44, 29",2026-05-27,"Local pack, Video, People also ask, Related searches, Short videos, Things to know, AI overview",commercial,Organic
dfw limo service,4,4,320,57,3.02,https://www.primelimo.com/,20,0.23,60.00,0.42,279000,"43, 100, 81, 81, 54, 66, 66, 54, 81, 54, 43, 54",2026-04-23,"Knowledge panel, Sitelinks, Image, People also ask, Related searches",informational,Organic
limo dallas rental,1,1,320,54,2.25,https://www.primelimo.com/,20,0.23,45.00,0.84,109,"19, 100, 67, 15, 36, 36, 15, 12, 36, 23, 29, 29",2026-04-17,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Organic
dallas limo,1,1,320,54,2.73,https://www.primelimo.com/,20,0.23,54.00,0.66,161,"66, 66, 54, 54, 44, 29, 36, 29, 66, 36, 29, 36",2026-05-08,"Local pack, Sitelinks, Image, Related searches, Discussions and forums",commercial,Organic
limousine car services,1,1,70,71,2.51,https://www.primelimo.com/,17,0.2,42.00,0.62,23400000,"4, 4, 23, 19, 14, 19, 100, 100, 52, 14, 33, 33",2026-04-09,"Local pack, Image, Related searches",commercial,Local pack
dallas limos,1,1,70,34,2.73,https://www.primelimo.com/,17,0.2,46.00,0.66,2270000,"4, 2, 44, 36, 2, 1, 5, 5, 2, 5, 2, 5",2026-04-23,"Local pack, Image, Related searches",commercial,Local pack
luxury car service dallas tx,1,1,70,20,3.18,https://www.primelimo.com/,17,0.2,54.00,0.68,24100000,"19, 19, 11, 34, 26, 19, 19, 34, 42, 26, 34, 26",2026-04-26,"Local pack, Video, Image, Related searches, Discussions and forums",commercial,Local pack
limo dallas tx,1,1,70,30,2.73,https://www.primelimo.com/,17,0.2,46.00,0.66,108,"33, 23, 9, 23, 23, 23, 33, 33, 33, 33, 42, 42",2026-05-23,"Local pack, Sitelinks, People also ask, Related searches",commercial,Local pack
dallas limo service near me,1,1,70,57,0.00,https://www.primelimo.com/,17,0.2,0.00,0,1950000,100,2026-04-13,"Local pack, Sitelinks, Video, Related searches",transactional,Local pack
car service dallas texas,1,1,70,39,4.16,https://www.primelimo.com/,17,0.2,70.00,0.9,122,"9, 81, 81, 81, 45, 27, 45, 63, 81, 100, 63, 81",2026-05-27,"Local pack, Video, Related searches",commercial,Local pack
limo rental arlington tx,1,1,70,18,1.80,https://www.primelimo.com/,17,0.2,30.00,0.8,75600,"14, 18, 29, 22, 18, 8, 18, 18, 18, 10, 10, 10",2026-04-17,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Local pack
limo service in plano,1,1,70,12,2.54,https://www.primelimo.com/,17,0.2,43.00,0.49,364000,"45, 45, 27, 63, 63, 100, 63, 45, 63, 45, 45, 45",2026-04-26,"Local pack, Sitelinks, People also ask, Related searches",commercial,Local pack
chauffeur dallas,1,1,70,19,2.28,https://www.primelimo.com/,17,0.2,38.00,0.86,1910000,"14, 50, 100, 50, 50, 35, 35, 35, 35, 28, 50, 64",2026-04-10,"Local pack, Video, Image, Related searches",commercial,Local pack
car limo,1,1,210,73,2.07,https://www.primelimo.com/,17,0.2,35.00,0.32,89700000,"5, 8, 4, 7, 3, 7, 13, 3, 3, 30, 3, 2",2026-05-04,"Local pack, Image pack, Video, Image, People also ask, Related searches",commercial,Local pack
luxury chauffeur service dallas,1,1,70,19,3.18,https://www.primelimo.com/,17,0.2,54.00,0.68,733000,"14, 0, 35, 35, 35, 50, 64, 78, 64, 50, 78, 78",2026-04-09,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Local pack
dallas limousine rentals,1,1,70,52,2.25,https://www.primelimo.com/,17,0.2,38.00,0.84,2240000,"50, 50, 64, 64, 35, 35, 100, 78, 78, 50, 50, 35",2026-04-27,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Local pack
limousine service in dallas,1,1,70,33,3.05,https://www.primelimo.com/,17,0.2,51.00,0.8,107,"3, 3, 100, 0, 3, 15, 15, 21, 43, 12, 6, 6",2026-05-25,"Local pack, Sitelinks, People also ask, Related searches",commercial,Local pack
limo rental fort worth,1,1,210,36,1.86,https://www.primelimo.com/,17,0.2,31.00,0.64,107,"36, 29, 44, 54, 29, 23, 36, 19, 44, 19, 19, 29",2026-05-08,"Local pack, Video, Image, People also ask, Related searches",commercial,Local pack
rent limo in dallas,2,2,320,55,2.25,https://www.primelimo.com/,14,0.16,31.00,0.84,114,"19, 100, 67, 15, 36, 36, 15, 12, 36, 23, 29, 29",2026-05-27,"Local pack, Sitelinks, Related searches",commercial,Organic
car and limo service,2,2,320,60,2.51,https://www.primelimo.com/,14,0.16,35.00,0.62,155,"48, 26, 26, 14, 72, 21, 14, 14, 100, 48, 7, 7",2026-05-24,"Local pack, Sitelinks, Video, Ads bottom, Related searches",commercial,Organic
stretch limo rental dallas,2,2,320,35,2.25,https://www.primelimo.com/,14,0.16,31.00,0.84,322000,"19, 100, 67, 15, 36, 36, 15, 12, 36, 23, 29, 29",2026-04-15,"Local pack, Video, Image, Related searches",commercial,Organic
primo limo,1,1,110,22,1.97,https://www.primelimo.com/,14,0.16,27.00,0.28,114,"52, 52, 64, 82, 64, 52, 52, 64, 64, 64, 52, 64",2026-05-22,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Local pack
suv limo service,1,1,110,67,2.33,https://www.primelimo.com/,14,0.16,32.00,0.57,5450000,"19, 42, 42, 34, 34, 26, 100, 65, 53, 53, 26, 26",2026-04-15,"Local pack, Video, Image, Related searches",commercial,Local pack
limousine dallas tx,1,1,210,55,2.73,https://www.primelimo.com/,13,0.15,35.00,0.66,114,"28, 43, 100, 66, 66, 53, 28, 35, 66, 28, 43, 43",2026-05-16,"Local pack, Sitelinks, Video, Related searches",commercial,Organic
dallas limo tx,1,1,210,37,2.32,https://www.primelimo.com/,13,0.15,30.00,0.63,114,"44, 35, 23, 35, 28, 23, 11, 54, 28, 35, 44, 35",2026-05-28,"Local pack, Sitelinks, Related searches",commercial,Organic
limo rental plano tx,1,1,50,10,2.84,https://www.primelimo.com/,12,0.14,34.00,0.86,59600,"100, 33, 33, 33, 14, 14, 9, 9, 9, 9, 14, 9",2026-04-10,"Local pack, Image, People also ask, Related searches",commercial,Local pack
limousine service in dallas texas,1,1,50,53,3.05,https://www.primelimo.com/,12,0.14,36.00,0.8,2730000,"3, 3, 0, 2, 3, 2, 5, 16, 3, 6, 2, 1",2026-05-04,"Local pack, Sitelinks, People also ask, Related searches",commercial,Local pack
limo arlington tx,1,1,50,12,2.22,https://www.primelimo.com/,12,0.14,26.00,0.89,277000,"11, 11, 64, 64, 11, 17, 52, 29, 41, 17, 23, 29",2026-04-10,"Local pack, Image, Related searches",informational,Local pack
cheap limo service dallas,1,1,50,50,2.08,https://www.primelimo.com/,12,0.14,24.00,0.75,2040000,"23, 23, 23, 23, 33, 23, 33, 23, 52, 9, 9, 9",2026-04-17,"Local pack, Sitelinks, Video, Related searches, Discussions and forums",commercial,Local pack
dallas limo rentals,1,1,50,52,2.25,https://www.primelimo.com/,12,0.14,27.00,0.84,1500000,"34, 3, 21, 6, 3, 3, 6, 81, 3, 3, 6, 15",2026-04-11,"Local pack, Sitelinks, Image, Related searches",commercial,Local pack
airport car service dallas,1,1,50,26,4.78,https://www.primelimo.com/,12,0.14,57.00,0.84,84100000,"7, 28, 35, 35, 35, 28, 64, 100, 35, 14, 14, 14",2026-05-03,"Local pack, Sitelinks, Video, Image, Related searches, Discussions and forums",commercial,Local pack
limo and car,1,1,50,61,2.07,https://www.primelimo.com/,12,0.14,24.00,0.32,50500000,"13, 13, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2",2026-04-11,"Local pack, Image, Related searches",commercial,Local pack
limo in texas,1,1,50,50,2.24,https://www.primelimo.com/,12,0.14,26.00,0.26,116,"100, 100, 100, 18, 100, 18, 18, 18, 18, 18, 18, 27",2026-05-23,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Local pack
limo services in dallas tx,1,1,50,50,3.05,https://www.primelimo.com/,12,0.14,36.00,0.8,567000,"0, 78, 78, 50, 14, 0, 28, 28, 14, 50, 28, 35",2026-04-26,"Local pack, Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums",commercial,Local pack
best car service in dallas,1,1,50,22,2.85,https://www.primelimo.com/,12,0.14,34.00,0.82,381000000,"19, 19, 19, 26, 26, 7, 19, 42, 7, 7, 7, 7",2026-04-17,"Local pack, Video, Related searches",commercial,Local pack
limo rental plano,1,1,50,17,1.83,https://www.primelimo.com/,12,0.14,21.00,0.32,108,"21, 9, 9, 12, 15, 12, 12, 21, 21, 21, 15, 21",2026-05-30,"Local pack, People also ask, Related searches",commercial,Local pack
limo service in arlington tx,1,1,50,11,1.95,https://www.primelimo.com/,12,0.14,23.00,0.67,118,"45, 63, 63, 100, 63, 63, 18, 18, 63, 18, 18, 18",2026-04-10,"Local pack, Sitelinks, Related searches",commercial,Local pack
limousine dallas,1,1,50,52,2.73,https://www.primelimo.com/,12,0.14,32.00,0.66,7150000,"64, 17, 11, 11, 11, 17, 64, 41, 23, 17, 11, 41",2026-05-14,"Local pack, Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums",commercial,Local pack
dallas texas limo service,1,1,50,42,3.05,https://www.primelimo.com/,12,0.14,36.00,0.8,1180000,"23, 17, 17, 5, 41, 29, 5, 11, 17, 17, 100, 41",2026-05-13,"Local pack, Sitelinks, Video, Image, Related searches, Discussions and forums",commercial,Local pack
limo rental dallas tx,1,1,170,35,2.25,https://www.primelimo.com/,11,0.12,24.00,0.84,339000,"43, 43, 54, 54, 54, 54, 18, 22, 29, 14, 10, 18",2026-04-15,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Organic
executive car service dallas,1,1,90,23,3.15,https://www.primelimo.com/,11,0.12,34.00,0.73,81700000,"23, 19, 33, 66, 33, 23, 80, 80, 33, 14, 19, 23",2026-05-14,"Local pack, Video, Image, People also ask, Related searches",commercial,Local pack
car service dallas tx,4,4,390,32,4.16,https://www.primelimo.com/,11,0.12,45.00,0.9,209000000,"59, 26, 32, 59, 48, 21, 39, 39, 26, 32, 26, 26",2026-05-06,"Local pack, Video, People also ask, Discussions and forums",commercial,Organic
town car service dallas,6,6,590,36,4.16,https://www.primelimo.com/,11,0.12,45.00,0.9,137000000,"13, 55, 100, 100, 45, 36, 10, 10, 30, 36, 36, 36",2026-04-13,"Local pack, Sitelinks, Image, Related searches, AI overview",informational,Organic
